fecha,tmed,tmin,tmax,velmedia,hrMedia
2019-01-01,5.3,-4.1,14.7,0.8,62.0
2019-01-02,4.6,-5.5,14.6,1.1,65.0
2019-01-03,6.0,-2.8,14.7,1.1,63.0
2019-01-04,5.0,-4.2,14.3,0.6,60.0
2019-01-05,4.5,-5.8,14.8,1.1,58.0
2019-01-06,4.7,-7.1,16.5,1.4,51.0
2019-01-07,6.0,-5.5,17.4,0.8,43.0
2019-01-08,5.5,-5.3,16.3,0.8,55.0
2019-01-09,5.4,-3.6,14.4,1.9,61.0
2019-01-10,2.2,-5.0,9.5,3.1,60.0
2019-01-11,1.4,-7.1,9.9,2.2,54.0
2019-01-12,3.2,-5.5,11.9,1.9,63.0
2019-01-13,3.3,-5.8,12.4,0.6,65.0
2019-01-14,6.6,-4.2,17.4,0.3,64.0
2019-01-15,6.2,-3.2,15.5,0.3,64.0
2019-01-16,3.7,-4.5,11.9,1.9,73.0
2019-01-17,2.8,-2.7,8.3,0.0,80.0
2019-01-18,1.0,-5.1,7.2,0.3,77.0
2019-01-19,-0.2,-6.0,5.6,1.4,81.5
2019-01-20,4.6,-1.3,10.5,2.8,72.0
2019-01-21,3.7,-2.9,10.3,2.8,69.0
2019-01-22,2.5,-3.5,8.5,0.8,81.0
2019-01-23,8.2,1.8500000000000005,14.4,3.6,67.0
2019-01-24,9.6,1.950000000000001,14.9,3.6,63.0
2019-01-25,8.4,1.0,15.7,2.2,57.0
2019-01-26,5.4,-3.4,14.1,1.7,67.0
2019-01-27,5.0,-3.0,13.1,2.5,58.0
2019-01-28,5.8,-2.8,14.4,2.8,59.0
2019-01-29,5.4,-2.3,13.0,3.9,74.0
2019-01-30,5.0,-1.7,11.6,3.1,61.0
2019-01-31,10.1,0.75,13.3,7.8,83.0
2019-02-01,7.4,0.6000000000000014,10.1,6.9,76.0
2019-02-02,3.3,-1.1,7.7,3.1,56.0
2019-02-03,2.9,-2.7,8.5,3.9,54.0
2019-02-04,3.4,-5.1,12.6,1.1,61.0
2019-02-05,7.2,-2.4,16.8,1.4,63.0
2019-02-06,7.6,-1.6,16.8,1.1,67.0
2019-02-07,8.0,-0.9,16.9,1.1,62.0
2019-02-08,6.6,-2.7,15.8,1.7,65.0
2019-02-09,6.1,-1.7,13.9,1.7,70.5
2019-02-10,6.7,1.5,11.9,3.3,72.0
2019-02-11,7.4,0.6,14.2,3.3,58.0
2019-02-12,6.8,-1.9,15.4,1.4,58.0
2019-02-13,8.2,-1.9,18.3,1.4,59.0
2019-02-14,6.7,-3.0,16.4,0.8,56.0
2019-02-15,7.8,-2.9,18.4,0.8,61.0
2019-02-16,10.1,1.1,19.1,2.5,45.0
2019-02-17,7.4,-3.6,18.3,1.1,43.0
2019-02-18,8.0,-1.2,17.1,1.4,57.0
2019-02-19,7.8,-0.7,16.2,1.1,61.0
2019-02-20,8.0,-0.5,16.5,1.7,62.0
2019-02-21,9.6,0.4,18.7,1.7,57.0
2019-02-22,9.4,-1.3,20.1,1.1,49.0
2019-02-23,8.7,-3.3,20.7,1.4,51.0
2019-02-24,11.0,1.2,20.8,1.4,47.0
2019-02-25,10.6,0.6,20.7,1.1,51.0
2019-02-26,11.9,1.6,22.2,2.2,46.0
2019-02-27,11.2,0.6,21.7,1.7,41.0
2019-02-28,9.4,-1.4,20.2,1.1,49.0
2019-03-01,11.2,1.2,21.3,1.9,45.0
2019-03-02,11.1,1.2,21.0,1.7,50.0
2019-03-03,10.9,0.2,21.6,3.3,52.0
2019-03-04,13.0,4.05,16.8,4.7,67.0
2019-03-05,11.6,4.1499999999999995,16.0,3.1,59.0
2019-03-06,10.2,4.1499999999999995,13.6,6.4,68.5
2019-03-07,6.8,0.6,12.9,2.8,63.0
2019-03-08,9.3,2.3,16.3,1.4,60.0
2019-03-09,10.2,0.8,19.6,1.4,57.0
2019-03-10,12.4,1.6,23.3,1.7,59.0
2019-03-11,12.6,4.3500000000000005,19.7,1.9,52.0
2019-03-12,11.8,1.0,22.7,3.6,51.0
2019-03-13,9.2,3.1,15.2,5.0,44.0
2019-03-14,8.8,-1.1,18.8,0.8,48.0
2019-03-15,11.6,-1.0,24.1,1.4,42.0
2019-03-16,13.0,0.5,25.5,1.7,41.0
2019-03-17,11.0,0.6,21.3,3.3,48.0
2019-03-18,9.0,1.8,16.1,3.6,39.0
2019-03-19,9.8,3.6,16.0,3.6,45.0
2019-03-20,6.8,-2.2,15.9,2.2,49.0
2019-03-21,7.2,-1.8,16.3,1.4,47.0
2019-03-22,9.4,-1.6,20.3,2.2,43.0
2019-03-23,12.0,2.2,21.7,3.1,46.0
2019-03-24,13.4,3.9,23.0,1.9,39.0
2019-03-25,13.2,4.2,22.1,3.9,35.0
2019-03-26,13.6,4.5,22.6,5.3,34.0
2019-03-27,9.2,-2.4,20.7,1.1,40.0
2019-03-28,10.2,0.1,20.2,1.4,32.0
2019-03-29,10.4,1.3,19.5,3.6,39.0
2019-03-30,10.5,0.6,20.4,1.7,43.0
2019-03-31,10.2,7.1,13.3,1.7,72.0
2019-04-01,12.6,8.3,16.9,1.1,72.0
