fecha,tmed,tmin,tmax,hrMedia,MA,outlier_ma,outlier_hm,tmed_corrected,tmed_max,tmed_min,tmed_mean,tmin_max,tmin_min,tmin_mean,tmax_max,tmax_min,tmax_mean,hrMedia_max,hrMedia_min,hrMedia_mean,estacion_Invierno,estacion_Otoño,estacion_Primavera,estacion_Verano,mes
2019-01-01,5.7,1.5,9.9,90.0,,False,False,5.7,17.7,5.7,9.928571428571429,14.1,1.5,6.514285714285714,21.3,8.5,13.385714285714286,93.0,46.0,75.14285714285714,True,False,False,False,1
2019-01-02,7.9,6.0,9.8,76.0,,False,False,7.9,16.2,4.6,10.342857142857143,11.9,2.7,6.757142857142857,20.6,6.6,13.928571428571429,99.0,48.0,71.57142857142857,True,False,False,False,1
2019-01-03,6.1,1.7,10.5,77.0,,False,False,6.1,14.8,5.3,10.485714285714286,12.3,1.7,6.8,20.4,7.2,14.185714285714285,97.0,57.0,73.57142857142857,True,False,False,False,1
2019-01-04,4.9,-1.4,11.2,75.0,,False,False,4.9,15.3,3.6,9.971428571428572,11.8,-1.4,6.042857142857143,20.4,5.2,13.885714285714286,100.0,58.0,80.0,True,False,False,False,1
2019-01-05,6.1,0.0,12.2,74.0,,False,False,6.1,15.8,4.8,8.914285714285715,11.7,0.0,5.542857142857143,19.8,6.7,12.285714285714286,95.0,60.0,80.42857142857143,True,False,False,False,1
2019-01-06,5.0,-1.0,11.0,81.0,,False,False,5.0,11.0,5.0,8.085714285714285,8.0,-1.0,4.1571428571428575,16.0,8.5,12.014285714285714,92.0,69.0,80.28571428571429,True,False,False,False,1
2019-01-07,4.9,-0.2,10.0,76.0,,False,False,4.9,13.6,4.4,8.6,8.6,-0.2,4.485714285714286,18.6,8.3,12.700000000000001,83.0,62.0,74.71428571428571,True,False,False,False,1
2019-01-08,6.2,0.9,11.6,79.0,,False,False,6.2,15.6,3.5,9.528571428571428,12.6,-0.6,5.785714285714286,18.6,7.6,13.257142857142856,91.0,53.0,70.85714285714286,True,False,False,False,1
2019-01-09,7.6,5.1,10.2,88.0,,False,False,7.6,14.4,3.3,9.928571428571429,12.3,0.3,6.757142857142857,20.2,6.3,13.085714285714285,88.0,59.0,76.28571428571429,True,False,False,False,1
2019-01-10,6.0,2.2,9.9,77.0,,False,False,6.0,15.6,6.0,9.771428571428572,11.6,2.2,6.585714285714286,19.9,8.5,13.014285714285714,97.0,63.0,79.14285714285714,True,False,False,False,1
