fecha,tmed,tmin,tmax,hrMedia
2019-01-01,5.7,1.5,9.9,90.0
2019-01-02,7.9,6.0,9.8,76.0
2019-01-03,6.1,1.7,10.5,77.0
2019-01-04,4.9,-1.4,11.2,75.0
2019-01-05,6.1,0.0,12.2,74.0
2019-01-06,5.0,-1.0,11.0,81.0
2019-01-07,4.9,-0.2,10.0,76.0
2019-01-08,6.2,0.9,11.6,79.0
2019-01-09,7.6,5.1,10.2,88.0
2019-01-10,6.0,2.2,9.9,77.0
2019-01-11,4.8,0.7,8.9,74.0
2019-01-12,6.0,2.1,9.8,80.0
2019-01-13,9.4,5.6,13.1,75.0
2019-01-14,8.1,4.1,12.1,76.0
2019-01-15,8.0,3.4,12.6,84.0
2019-01-16,8.3,3.3,13.3,75.0
2019-01-17,8.1,5.6,10.6,83.0
2019-01-18,8.4,5.5,11.4,69.0
2019-01-19,8.8,7.3,10.3,93.0
2019-01-20,10.2,8.1,12.2,81.0
2019-01-21,9.0,6.1,11.8,86.0
2019-01-22,8.7,6.9,10.5,87.0
2019-01-23,10.6,9.7,11.4,96.0
2019-01-24,11.0,10.2,11.7,97.0
2019-01-25,10.3,8.2,12.4,90.0
2019-01-26,9.1,6.0,12.2,83.0
2019-01-27,9.2,7.5,11.0,77.0
2019-01-28,9.8,8.3,11.3,85.0
2019-01-29,9.5,6.3,12.7,75.0
2019-01-30,9.1,5.9,12.3,74.0
2019-01-31,12.0,8.7,15.2,84.0
2019-02-01,7.2,4.4,10.1,74.0
2019-02-02,7.1,3.5,10.7,74.5
2019-02-03,7.0,2.6,11.3,75.0
2019-02-04,8.6,3.4,13.9,61.0
2019-02-05,12.0,8.0,15.9,70.0
2019-02-06,9.8,6.4,13.1,82.0
2019-02-07,9.4,5.8,13.0,77.0
2019-02-08,10.1,3.4,16.8,65.0
2019-02-09,13.3,9.2,17.4,55.0
2019-02-10,11.5,6.7,16.3,83.0
2019-02-11,8.6,4.4,12.8,74.0
2019-02-12,8.6,3.2,13.9,75.0
2019-02-13,9.6,3.8,15.5,63.0
2019-02-14,11.8,6.0,17.6,69.0
2019-02-15,13.9,9.1,18.7,50.0
2019-02-16,13.6,7.0,20.1,59.0
2019-02-17,12.2,7.9,16.6,63.0
2019-02-18,8.4,6.3,10.5,94.0
2019-02-19,7.6,3.5,11.8,84.0
2019-02-20,9.0,4.4,13.7,79.0
2019-02-21,12.9,6.5,19.3,58.0
2019-02-22,13.7,9.4,18.0,55.0
2019-02-23,13.8,8.3,19.3,58.0
2019-02-24,12.4,6.2,18.5,75.0
2019-02-25,13.4,6.7,20.0,64.0
2019-02-26,15.4,8.7,22.2,60.0
2019-02-27,13.3,8.4,18.2,61.0
2019-02-28,11.3,6.6,16.0,66.0
2019-03-01,10.8,6.9,14.6,82.0
2019-03-02,13.3,8.5,18.1,63.0
2019-03-03,16.5,7.7,25.3,48.0
2019-03-04,12.2,9.0,15.3,57.0
2019-03-05,12.6,5.6,19.6,56.0
2019-03-06,12.0,7.7,16.3,65.0
2019-03-07,11.8,6.9,16.8,65.0
2019-03-08,10.2,6.6,13.8,78.0
2019-03-09,15.4,10.4,20.3,74.0
2019-03-10,12.8,9.3,16.4,88.0
2019-03-11,10.1,6.4,13.8,77.0
2019-03-12,12.4,5.8,19.1,81.0
2019-03-13,9.0,5.9,12.1,81.0
2019-03-14,10.0,7.0,13.1,73.0
2019-03-15,9.4,4.7,14.1,73.0
2019-03-16,8.8,4.3,13.3,83.0
2019-03-17,9.0,5.4,12.7,74.0
2019-03-18,8.4,4.1,12.7,73.0
