Fecha,Temperatura_C,Sensacion_termica_C,Humedad,Presion_mb,is_day
2024-02-18T00:00:00.000Z,13.4,12.4,84,1033.0,0
2024-02-18T01:00:00.000Z,13.1,12.2,84,1033.0,0
2024-02-18T02:00:00.000Z,12.8,12.0,85,1033.0,0
2024-02-18T03:00:00.000Z,12.5,11.6,85,1033.0,0
2024-02-18T04:00:00.000Z,12.3,11.5,84,1032.0,0
2024-02-18T05:00:00.000Z,12.3,11.4,83,1032.0,0
2024-02-18T06:00:00.000Z,12.4,11.6,80,1032.0,0
2024-02-18T07:00:00.000Z,12.4,11.5,79,1033.0,0
2024-02-18T08:00:00.000Z,12.1,11.2,77,1033.0,0
2024-02-18T09:00:00.000Z,12.8,12.1,73,1034.0,1
2024-02-18T10:00:00.000Z,14.9,14.6,65,1034.0,1
2024-02-18T11:00:00.000Z,16.2,16.2,59,1034.0,1
2024-02-18T12:00:00.000Z,16.8,16.8,58,1034.0,1
2024-02-18T13:00:00.000Z,17.1,17.1,58,1034.0,1
2024-02-18T14:00:00.000Z,17.1,17.2,59,1034.0,1
2024-02-18T15:00:00.000Z,17.2,17.2,60,1033.0,1
2024-02-18T16:00:00.000Z,17.1,17.1,62,1032.0,1
2024-02-18T17:00:00.000Z,16.8,16.8,63,1032.0,1
2024-02-18T18:00:00.000Z,15.8,15.8,66,1032.0,1
2024-02-18T19:00:00.000Z,13.9,13.4,73,1032.0,1
2024-02-18T20:00:00.000Z,13.4,12.9,74,1033.0,0
2024-02-18T21:00:00.000Z,13.3,12.8,72,1033.0,0
2024-02-18T22:00:00.000Z,13.2,12.6,69,1033.0,0
2024-02-18T23:00:00.000Z,13.1,12.4,67,1033.0,0
2024-02-19T00:00:00.000Z,12.3,11.8,76,1033.0,0
2024-02-19T01:00:00.000Z,12.2,11.7,73,1033.0,0
2024-02-19T02:00:00.000Z,12.0,11.4,71,1033.0,0
2024-02-19T03:00:00.000Z,11.7,11.3,69,1032.0,0
2024-02-19T04:00:00.000Z,11.4,10.9,68,1031.0,0
2024-02-19T05:00:00.000Z,12.0,11.9,68,1031.0,0
2024-02-19T06:00:00.000Z,12.3,12.0,69,1031.0,0
2024-02-19T07:00:00.000Z,12.2,12.1,69,1030.0,0
2024-02-19T08:00:00.000Z,12.7,12.5,69,1030.0,0
2024-02-19T09:00:00.000Z,13.7,13.8,66,1031.0,1
2024-02-19T10:00:00.000Z,15.6,15.6,61,1030.0,1
2024-02-19T11:00:00.000Z,16.7,16.7,57,1030.0,1
