,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,wind_speed_10m,temperature_80m,soil_temperature_0cm
0,2020-01-01 00:00:00+00:00,1.2025,97.51457,0.85249996,-1.8336694,,0.0,0.0,7.172949,,
1,2020-01-01 01:00:00+00:00,1.3525001,97.167435,0.9524999,-1.5183687,,0.0,0.0,6.151683,,
2,2020-01-01 02:00:00+00:00,0.60249996,97.85583,0.3025,-2.2701955,,0.0,0.0,5.4477882,,
3,2020-01-01 03:00:00+00:00,0.052500002,96.082924,-0.4975,-3.1064153,,0.0,0.0,6.5693827,,
4,2020-01-01 04:00:00+00:00,-0.7475,95.70603,-1.3475,-3.9644995,,0.0,0.0,6.12,,
5,2020-01-01 05:00:00+00:00,-1.2975,95.33501,-1.9475,-4.656051,,0.0,0.0,6.519877,,
6,2020-01-01 06:00:00+00:00,-1.5975,93.924385,-2.4475,-5.002405,,0.0,0.0,6.379216,,
7,2020-01-01 07:00:00+00:00,-1.7475,93.22347,-2.6975,-5.337037,,0.0,0.0,7.42159,,
8,2020-01-01 08:00:00+00:00,-1.2975,91.879036,-2.4475,-4.66914,,0.0,0.0,6.151683,,
9,2020-01-01 09:00:00+00:00,1.1525,85.25904,-1.0475,-1.8748941,,0.0,0.0,5.1165614,,
10,2020-01-01 10:00:00+00:00,3.8525,78.48474,0.45250002,1.4274654,,0.0,0.0,2.5455842,,
11,2020-01-01 11:00:00+00:00,6.2525,73.43811,1.8525001,4.099409,,0.0,0.0,2.2768397,,
12,2020-01-01 12:00:00+00:00,7.5025,73.14693,3.0024998,5.5172834,,0.0,0.0,2.5455842,,
13,2020-01-01 13:00:00+00:00,9.0525,70.408264,3.9525,7.1231327,,0.0,0.0,3.4152596,,
14,2020-01-01 14:00:00+00:00,10.002501,68.17357,4.4025,7.971013,,0.0,0.0,4.73506,,
15,2020-01-01 15:00:00+00:00,10.1525,68.44352,4.6025,8.058032,,0.0,0.0,5.4477882,,
16,2020-01-01 16:00:00+00:00,9.1525,76.583084,5.2525,7.3905306,,0.0,0.0,4.1046314,,
17,2020-01-01 17:00:00+00:00,6.0525002,82.824684,3.3525,3.3968544,,0.0,0.0,7.5942073,,
18,2020-01-01 18:00:00+00:00,7.1525,76.52289,3.3025,4.996373,,0.0,0.0,4.1046314,,
19,2020-01-01 19:00:00+00:00,6.6525,78.912865,3.2524998,4.9193993,,0.0,0.0,1.1384199,,
20,2020-01-01 20:00:00+00:00,3.5024998,90.2316,2.0525,0.951488,,0.0,0.0,5.2416787,,
21,2020-01-01 21:00:00+00:00,1.5025,95.438896,0.85249996,-1.5492816,,0.0,0.0,7.2805495,,
22,2020-01-01 22:00:00+00:00,0.80249995,97.15484,0.4025,-2.3216572,,0.0,0.0,7.2805495,,
23,2020-01-01 23:00:00+00:00,0.5025,97.85409,0.20250002,-2.4900694,,0.0,0.0,6.162207,,
24,2020-01-02 00:00:00+00:00,-0.047500003,97.135155,-0.4475,-3.3117294,,0.0,0.0,7.342588,,
25,2020-01-02 01:00:00+00:00,-0.4975,97.83654,-0.7975,-3.6415205,,0.0,0.0,6.162207,,
26,2020-01-02 02:00:00+00:00,-0.8475,95.70256,-1.4475,-3.9891975,,0.0,0.0,5.506941,,
27,2020-01-02 03:00:00+00:00,-1.1975,93.25324,-2.1475,-4.5829997,,0.0,0.0,6.519877,,
28,2020-01-02 04:00:00+00:00,-1.5475,91.18389,-2.7975001,-5.18987,,0.0,0.0,7.69592,,
29,2020-01-02 05:00:00+00:00,-1.7975,89.81927,-3.2475002,-5.6530013,,0.0,0.0,8.766573,,
30,2020-01-02 06:00:00+00:00,-1.4975,87.53339,-3.2975001,-5.067069,,0.0,0.0,6.763786,,
31,2020-01-02 07:00:00+00:00,-1.6975,87.187874,-3.5475001,-5.092005,,0.0,0.0,5.3517847,,
32,2020-01-02 08:00:00+00:00,-2.0475001,89.46456,-3.5475001,-5.4766493,,0.0,0.0,5.5887027,,
33,2020-01-02 09:00:00+00:00,0.3525,84.23305,-1.9975,-2.5070581,,0.0,0.0,3.0547013,,
34,2020-01-02 10:00:00+00:00,2.5024998,86.65257,0.5025,0.14137173,,0.0,0.0,2.16,,
35,2020-01-02 11:00:00+00:00,4.7025003,82.65335,2.0024998,2.5551825,,0.0,0.0,2.4149535,,
36,2020-01-02 12:00:00+00:00,6.1025,74.73347,1.9525,3.814806,,0.0,0.0,3.319036,,
37,2020-01-02 13:00:00+00:00,7.4025,70.83066,2.4524999,5.1626673,,0.0,0.0,3.6,,
38,2020-01-02 14:00:00+00:00,8.252501,68.28802,2.7524998,6.075243,,0.0,0.0,3.5455887,,
39,2020-01-02 15:00:00+00:00,8.6525,67.89002,3.0525,6.5498857,,0.0,0.0,3.4152596,,
40,2020-01-02 16:00:00+00:00,8.2025,75.09972,4.0525002,6.5082693,,0.0,0.0,1.9386592,,
41,2020-01-02 17:00:00+00:00,7.5525002,73.93596,3.2024999,5.3985586,,0.0,0.0,3.96,,
42,2020-01-02 18:00:00+00:00,6.8025002,77.00804,3.0525,4.5991898,,0.0,0.0,4.1046314,,
43,2020-01-02 19:00:00+00:00,5.8525,81.06032,2.8525,3.8318872,,0.0,0.0,2.5959969,,
