Fecha,Temperatura_C,Sensacion_termica_C,Humedad,Precipitaciones_mm,Presion_mb,Viento_kph,is_day,Descripcion,Probabilidad_lluvia,Llueve
2024-02-25 00:00,10.8,9.7,71,0.0,1023.0,9.4,0,Clear,0,0
2024-02-25 01:00,10.3,9.1,71,0.0,1023.0,9.4,0,Clear,0,0
2024-02-25 02:00,9.5,8.2,71,0.0,1023.0,8.6,0,Clear,0,0
2024-02-25 03:00,9.4,8.1,72,0.0,1022.0,9.0,0,Clear,0,0
2024-02-25 04:00,9.3,8.2,72,0.0,1023.0,8.3,0,Clear,0,0
2024-02-25 05:00,9.3,8.2,73,0.0,1022.0,7.9,0,Clear,0,0
2024-02-25 06:00,9.2,8.2,73,0.0,1022.0,7.6,0,Clear,0,0
2024-02-25 07:00,9.1,7.8,74,0.0,1023.0,8.6,0,Clear,0,0
2024-02-25 08:00,9.0,7.5,75,0.0,1023.0,9.7,1,Sunny,0,0
2024-02-25 09:00,11.0,9.9,72,0.0,1023.0,9.4,1,Sunny,45,0
2024-02-25 10:00,14.1,13.5,67,0.0,1023.0,10.4,1,Sunny,45,0
2024-02-25 11:00,15.6,15.6,63,0.0,1022.0,14.4,1,Sunny,45,0
2024-02-25 12:00,16.8,16.8,62,0.0,1021.0,17.6,1,Partly cloudy,45,0
2024-02-25 13:00,17.4,17.4,62,0.02,1021.0,19.4,1,Patchy rain possible,45,0
2024-02-25 14:00,17.6,17.6,64,0.02,1020.0,20.5,1,Patchy rain possible,45,0
2024-02-25 15:00,17.7,17.7,64,0.04,1019.0,20.5,1,Patchy rain possible,45,0
2024-02-25 16:00,17.9,17.9,65,0.03,1018.0,21.2,1,Patchy rain possible,45,0
2024-02-25 17:00,17.5,17.5,67,0.01,1018.0,20.9,1,Patchy rain possible,45,0
2024-02-25 18:00,16.9,16.9,70,0.03,1018.0,20.9,1,Patchy rain possible,45,0
2024-02-25 19:00,15.5,15.5,77,0.04,1018.0,20.5,1,Patchy rain possible,45,0
2024-02-25 20:00,14.7,13.4,82,0.05,1018.0,19.8,0,Patchy rain possible,45,0
2024-02-25 21:00,14.5,13.1,84,0.06,1018.0,18.4,0,Patchy rain possible,45,0
2024-02-25 22:00,14.5,13.3,86,0.08,1017.0,17.3,0,Patchy rain possible,45,0
2024-02-25 23:00,14.8,13.7,84,0.09,1017.0,17.3,0,Patchy rain possible,100,1
2024-02-26 00:00,14.9,13.8,83,0.02,1016.0,16.9,0,Patchy rain possible,45,0
2024-02-26 01:00,14.9,13.8,81,0.0,1015.0,16.9,0,Partly cloudy,45,0
2024-02-26 02:00,13.9,12.7,84,0.0,1015.0,16.2,0,Partly cloudy,45,0
2024-02-26 03:00,13.7,12.5,84,0.02,1015.0,15.1,0,Patchy rain possible,45,0
2024-02-26 04:00,13.6,12.5,83,0.04,1014.0,14.0,0,Patchy rain possible,45,0
2024-02-26 05:00,13.7,12.4,83,0.02,1013.0,15.8,0,Patchy rain possible,45,0
2024-02-26 06:00,13.9,12.4,83,0.03,1012.0,18.4,0,Patchy rain possible,45,0
2024-02-26 07:00,14.0,12.5,83,0.01,1011.0,19.4,0,Patchy rain possible,45,0
2024-02-26 08:00,14.7,13.1,80,0.14,1010.0,22.7,1,Patchy rain possible,100,1
2024-02-26 09:00,14.3,12.6,89,2.85,1011.0,22.3,1,Moderate rain,100,1
2024-02-26 10:00,13.8,12.4,91,2.17,1011.0,16.6,1,Light rain,100,1
2024-02-26 11:00,13.4,12.2,80,0.04,1012.0,14.0,1,Patchy rain possible,45,0
2024-02-26 12:00,14.4,13.6,67,0.03,1012.0,12.6,1,Patchy rain possible,45,0
2024-02-26 13:00,15.4,15.4,56,0.0,1011.0,11.9,1,Sunny,45,0
